,speaker,time,text,debate
0,Moderator,00:01:20,"Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential debates. The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates.",1
1,Moderator,00:02:10,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden.",1
2,Joe Biden,00:02:49,"How you doing, man?",1
3,Donald Trump,00:02:51,How are you doing?,1
4,Joe Biden,00:02:51,I’m well.,1
5,Moderator,00:03:11,"Gentlemen, a lot of people been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes.",1
6,Donald Trump,00:04:01,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school.",1
7,Donald Trump,00:04:53,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris.",1
8,Moderator,00:05:22,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes.",1
9,Joe Biden,00:05:29,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",1
10,Donald Trump,00:05:34,"Thank you, Joe.",1
11,Joe Biden,00:05:36,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,1
12,Joe Biden,00:06:12,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets.",1
13,Joe Biden,00:07:08,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.",1
14,Donald Trump,00:07:34,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",1
15,Joe Biden,00:08:01,He’s elected to the next election.,1
16,Donald Trump,00:08:02,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",1
17,Joe Biden,00:08:24,That’s simply not true.,1
18,Donald Trump,00:08:25,"Well, you’re certainly going to socialist. You’re going to socialist medicine-",1
19,Moderator,00:08:29,"Gentlemen, we’re now into open discussion.",1
20,Joe Biden,00:08:31,Open discussion.,1
21,Moderator,00:08:32,"Open discussion, yes, I agree. Go ahead, Vice President.",1
22,Joe Biden,00:08:33,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",1
23,Donald Trump,00:08:58,That’s not what you’ve said and it’s not what your party is saying.,1
24,Joe Biden,00:09:00,That is simply a lie.,1
25,Donald Trump,00:09:02,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,1
26,Joe Biden,00:09:05,"The party is me. Right now, I am the Democratic Party.",1
27,Donald Trump,00:09:08,"And they’re going to dominate you, Joe. You know that.",1
28,Joe Biden,00:09:09,I am the Democratic Party right now.,1
29,Donald Trump,00:09:11,Not according to Harris.,1
30,Joe Biden,00:09:12,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",1
31,Donald Trump,00:09:39,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",1
32,Joe Biden,00:09:47,I’m happy to talk about this.,1
33,Donald Trump,00:09:48,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",1
34,Moderator,00:09:58,"All right, gentlemen, Mr. President.",1
35,Donald Trump,00:10:00,"You would have been much later, Joe, much later.",1
36,Moderator,00:10:04,Mr. President.,1
37,Donald Trump,00:10:04,We’re talking about two million people.,1
38,Joe Biden,00:10:05,You’re not going to be able to shut him up.,1
